,locus_ID,20190709-RC1-AM-BOTTOMTPM,20190709-RC7-AM-BOTTOMTPM,20190716-RC1-AM-BOTTOMTPM,20190716-RC1-AM-TOPTPM,20190716-RC2-AM-BOTTOMTPM,20190716-RC7-AM-BOTTOMTPM,20190716-RC9-AM-BOTTOMTPM,20190723-RC1-AM-BOTTOMTPM,20190723-RC2-AM-BOTTOMTPM,20190723-RC7-AM-BOTTOMTPM,20190723-RC9-AM-BOTTOMTPM,20190730-RC1-AM-BOTTOMTPM,20190730-RC2-AM-BOTTOM-BUOYTPM,20190730-RC7-AM-BOTTOMTPM,20190730-RC9-AM-BOTTOMTPM
87,NODE_292_length_21567_cov_8.704305,119.680791,198.942029,207.750921,82.11714,157.686337,205.336164,239.058708,172.421533,208.294545,236.993846,240.092902,87.279137,109.831085,140.791235,103.776115
88,NODE_303_length_20887_cov_8.309572,143.728193,178.357208,153.256154,96.926753,158.511968,286.16251,211.626432,194.877389,190.027992,189.452161,228.263911,90.141924,87.818306,115.530633,145.655548
89,NODE_307_length_20764_cov_7.957700,115.668797,190.904727,154.169958,87.754785,126.692136,218.472254,193.53556,236.600749,209.196205,226.751789,226.322672,107.167189,92.023133,138.261925,135.466516
90,NODE_309_length_20631_cov_9.691631,104.778099,186.365992,195.071356,103.045678,147.301199,230.238202,240.243827,170.098407,234.151596,254.827405,262.17952,165.94354,111.144727,135.126393,172.520158
91,NODE_325_length_20058_cov_7.243164,128.754667,164.978379,100.34093,78.247501,90.470961,180.973468,193.718683,160.996448,186.73817,169.974024,208.694136,81.092531,57.171571,130.717233,125.9591
92,NODE_345_length_19014_cov_8.924996,120.08199,189.797433,154.021602,103.890699,179.016414,272.434349,222.063336,217.928289,214.811593,238.670397,268.994816,112.607619,100.55837,109.487074,148.039314
93,NODE_364_length_18326_cov_8.518964,111.509775,195.356013,99.904352,102.295392,175.880275,212.785218,212.17735,268.350134,198.399929,219.306969,236.087678,144.920474,87.665708,147.722454,163.052406
94,NODE_372_length_18129_cov_7.385360,119.363236,174.455922,111.097951,86.646469,130.224418,197.434967,136.837555,201.531026,148.879871,177.049364,197.002528,70.891397,71.744924,103.390327,142.649873
95,NODE_377_length_17996_cov_10.011761,170.358492,207.260033,188.237917,109.819593,123.62551,276.093012,186.29366,218.651585,249.982734,237.825503,251.906301,104.749172,106.293385,168.972448,159.681666
96,NODE_379_length_17955_cov_9.381061,157.358662,192.780356,163.174938,73.381726,156.784124,276.728491,257.677218,211.328322,229.678615,251.258306,321.346751,109.762748,106.538099,167.041644,166.451526
